"product_id","community_id"
"ROK1685416736210","6459"
"AUC8092724920872","33405"
"MEN8682870104815","9476"
"EST1697570638994","33405"
"AUC2008656010631","16030"
"BET1696477250562","3551"
"PWS1688699790237","29822"
"VGE7369908649869","8733"
"SHI7430548810954","35539"
"YOS0966479783922","2865"
"EME1690796392001","3050"
"XBO1692801391044","9979"
"AUC1692521783280","42460"
"TMI7771366498871","4291"
"AUC3254680063061","19681"
"AUC8059304270710","23195"
"HUR7848337250209","23195"
"EST7703675275928","3551"
"HAO6795550448252","6459"
"KIM1689656410369","16030"
"AUC0798511923214","16030"
"SAL1686564271768","26699"
"ROK1685345771795","6459"
"AUC8432210232308","16030"
"AUC3701613713420","41726"
"ROK1687515307644","6459"
"DIV1687765134090","4539"
"ATY1696412394266","31248"
"AUC9489428923978","19302"
"HOM5905475650147","9476"
"AUC6914212584019","16030"
"AUB3238920687651","23195"
"EME1690794148274","3050"
"DRF1696180281874","11250"
"MEU5452004023083","9476"
"VEN1687392070003","9476"
"FDI7406559828011","20134"
"INS3663556351186","17241"
"VEN3666471044829","10255"
"DRF1696183995995","29822"
"VBE1691429242857","14230"
"LIS1688566824242","16922"
"MEU5452004042220","34931"
"VEN3517920898336","23195"
"VEN3517920911417","10255"
"AUC3663556286860","3509"
"DUO1686249318178","3551"
"ATY1693427128241","33405"
"XBO1692859782199","9979"
"HOM5903814784775","9476"
"AUC9090731269730","19302"
"HUR2008015604662","36832"
"BES3701061707323","9476"
"AUC8466953742237","23195"
"FDI1691707281523","36832"
"AUC8720574929454","43278"
"MIL3662275112801","417"
"MLJUANAANGFXGR","9476"
"YOS0888530279130","3329"
"OVO3548326912982","26699"
"DEL4251943862811","26699"
"AUC0671875649832","32213"
"PEG6201808048858","11250"
"AUC8720663657275","43278"
"FDI7029165555869","24067"
"AUC3663556267319","4192"
"BEL7081457684503","9055"
"ITA1697586551185","4192"
"MOT1688008908765","11250"
"AUC9056571630291","19302"
"EME1690265621794","3050"
"BAI3584179071391","9476"
"REVEURBZDUNGR","10255"
"TMI7656193441835","26379"
"LIS1699154658822","4192"
"AUC3701521814752","9476"
"AUC3700966464928","4192"
"EST1689266862566","24067"
"AUC9489428924289","21025"
"FYD7613813688209","8733"
"AUC4696676891767","19302"
"AUC8737751934422","26379"
"AUC9010551826395","21025"
"DIO1688045962828","24067"
"ALI3760326997640","9476"
"AZK2008803853296","3694"
"AUC9318859665785","36832"
"AUC1695667723163","16030"
"EST1697451227543","24067"
"AUC1696601545194","16591"
"ASH1694710270334","43210"
"MIC5903614387442","37742"
"AUC1690781951043","16030"
"OVO3548326916140","17605"
"DRF1696970021358","14525"
"LOU3700538237103","9476"
"AUC2008482113759","16030"
"GAU1699291161942","4539"
"DEL1687516403496","9476"
"HOM5903814784393","9476"
"MIC5903614402763","42959"
"ATY1694778567490","29822"
"BIN4019359530058","3551"
"AUC9098432701443","19302"
"FDI1686357444136","29822"
"AUC9489428923619","19302"
