"product_id","community_id"
"DIO7049491646949","11568"
"ZJC7686514932339","8416"
"VID8720286826829","22900"
"DRF1696190657354","11568"
"SUB2008442269823","48024"
"PWS1687919856909","7886"
"AUC4153751516484","44690"
"AUC4025621860556","30894"
"AUC0748904871844","29489"
"MIC5903614049654","45324"
"ATM3560238991206","25909"
"AUC3663556285887","32922"
"LUXI3PCVANT","10866"
"KEE7048273724882","27062"
"DIO9193027090602","22900"
"BES1688566852082","47533"
"AUC9068346565011","29489"
"ATY1686631870309","29489"
"ADNINACCRS","25909"
"AUC2008826268954","24118"
"ZER7678955695041","27062"
"MEU2008922378083","43187"
"VEN1692836135725","14240"
"BEL7081458571949","30894"
"VEN3517920823130","11568"
"ATM3560231649425","14240"
"INS0854136299346","48024"
"VBE7366731862342","11568"
"ITA3663556328638","43109"
"INS0854136003233","48024"
"MEN8683342865746","10866"
"VID8720286838105","22900"
"AUC3094814794535","48024"
"SAL7314626271052","7886"
"AUC5730881525396","10866"
"AUC3663556281292","16213"
"INS3700732981932","20562"
"AUC0748806368282","12157"
"AUC3089480832711","11568"
"AUC7558935415596","44695"
"LIS1696554123991","47533"
"LIS1696554125039","47533"
"CAR3701458326113","35041"
"DRF9424139494126","29489"
"HIL2008150770628","35041"
"DUO2007809146654","35041"
"VID8720845734190","9316"
"JRI6000004033961","1419"
"VBE7434407900879","8416"
"AUC9037851009990","29489"
"AUC5011607724478","35041"
"AUC9068346565752","35041"
"AUC2008919265457","22900"
"MIC5903614342908","27901"
"BES3701061708849","43187"
"ZER1698587112152","8416"
"VIN9193025032741","11568"
"AUC3791342770962","44690"
"ATY7049254832787","27062"
"DIV3610971391389","25353"
"AUC1689577935792","48024"
"AUC4217227045042","44690"
"HOM1686056867033","43187"
"AUC7067515295430","35041"
"VEN3517920898312","10866"
"AUC4946532737587","29489"
"CUQ9399437176503","35041"
"DIL7656193810686","8431"
"AUC5742066395328","44690"
"VBE7541523678909","8416"
"ATY1686646601537","8416"
"DUO2007817779998","11568"
"CUQ9399437176473","35041"
"DUO2008096127500","35041"
"ITA3663556332451","43109"
"ARA9386400416582","35041"
"AUC3663556286365","16213"
"LIS1693534268589","42155"
"AUC2009394673973","10866"
"DUO1684918087629","27139"
"EJL9774257431184","11568"
"AUC3264153616779","44690"
"ARA9386400635167","35041"
"AUC4543727455679","35041"
"AUC9098432710315","24698"
"VID8720287072171","776"
"LEI1690618530499","1419"
"DRF1696550421770","9374"
"AUC2008243986912","11568"
"LIS1688566834228","47533"
"MXZ7299512116078","12157"
"DUO9459391805540","11568"
"LIS3701061712181","29489"
"AUC4267887804329","22900"
"AUC1695651752974","48024"
"VID8720286346310","10866"
"KIM1689408807623","1419"
"DIO1695715550002","10866"
"AUC7067604248859","44690"
"AUC9459395339607","12157"
"VID8719883569956","10866"
"IXI8445146024091","11568"
"AUC2008478914148","35041"
"INS3663556435909","43187"
"VBE7314626809309","8528"
"AUC6054091146431","48024"
"TEM5603449170812","10866"
"WOV6054091118193","32533"
"ZJC1684781229176","35041"
"AUC5498630562640","35041"
"AUC2008161673260","9374"
"MIC5903614387527","44498"
"ASH1695055030401","44244"
"BOFRANKLIND8515G","27901"
"HAO6746623303206","30699"
"AUC8720574926774","22545"
"OVO3022748367365","44690"
"VBE9586484304410","35041"
"AUC1695717718984","44744"
"AUC4091964640803","22900"
"DRF1686720991052","24698"
"FDI7654049401514","8416"
"TRU3662345027448","11568"
"RIL3573213298528","10866"
"SUR7314626097874","7886"
"AUC7753238022483","35041"
"EST1697488839676","29489"
"DRF1694757211073","44244"
"HOM5903814784355","43187"
"AUC5161389294017","8416"
"AUC2008572176602","24118"
"AUC4696676891699","44690"
"EST1696351527548","8416"
"AUC4714350954901","22900"
"OVO3022748367518","44690"
"AUC3701613713376","46477"
"ITA3663556339771","43109"
"EME1697106610920","43690"
"QQM1691639585699","22900"
"OVO8191122463490","29489"
"AUC3115620525882","29489"
"AUC7307162092427","29489"
"LIS1693534538060","42155"
"AUC2008080206754","10866"
"AUC5904347103484","43690"
"AKO9786618974445","29489"
"YOS7697288353640","34811"
"DIO7334379414179","10256"
"VID8719883569659","10866"
"AUC9388565450517","24698"
"OVO8386176836936","44690"
"ATY7078494535585","11232"
"AUC9386399176726","35041"
"VGE1698394640838","11568"
"MIL3662275128239","21782"
"VEN3517920627493","27901"
"ATY1685544599702","27062"
"YOS1694469441183","24698"
"VIP9054090381199","1419"
"MIC5903614403425","46940"
"SON1689722221044","10866"
"AUC0755886134973","22900"
"VID8720286492048","39971"
"AUC1695662918150","48024"
"AUC0745595881558","10866"
"AUC5498630562374","44690"
"YWE9364467878352","48024"
"LIM4661640236684","24118"
"AUC4934220102311","35041"
"FDI1688119717212","16988"
"AUC9388565450463","11568"
"HIL2008151034354","11568"
"CIK7385344856876","8416"
"DRF1696371881427","23639"
"WOV1689834936958","44695"
"AUC3643213228822","35041"
"YOS7385345455610","3406"
"HOM1700510855126","23639"
"FDI2007840354391","11568"
"AUC3643213228686","35041"
"VID0705989496065","11568"
"PWS1684911647609","9374"
"AUC3021881758504","35041"
"AUC9399437794936","35041"
"AUC1695647008564","47325"
"FDI1692229519228","8416"
"VID8719883569901","10866"
"FDI1686249484731","35041"
"DIO7842688480599","8416"
"DIO1693882831908","44244"
"ATM3482731275969","25909"
"QQM1687759407152","8332"
"DIO1699485316391","10866"
"OVO8233848583417","31941"
"PAR2008560077607","10866"
