"product_id","community_id"
"PWS1688446156653","49865"
"AUC0788033463886","6893"
"ATM3662874122003","23842"
"VID8720845733612","50790"
"FDI7674238867839","18298"
"CUQ7048273768114","14101"
"QQM7405144357073","43790"
"MOT7314626375460","51931"
"PWS1686106430752","9268"
"SAL1696754655396","14101"
"AUC9037082166530","32309"
"VEN3666471037111","10283"
"ITA3663556320977","5914"
"AUC2008945185248","34249"
"AUC0749249903214","46512"
"LAM3664031001626","10283"
"AUC9334953899208","41813"
"GAR7846614773861","14101"
"MIL3662275094008","51131"
"OVO7305587519246","17114"
"HUR1693672873194","18298"
"LIS1688566796938","47753"
"LIS1688566807074","47753"
"INS3700732943022","5914"
"AUC3663556285283","33866"
"AUC3115620963363","28513"
"AUC4217227042713","17114"
"DRF1696631030527","14101"
"EME1692354884738","27790"
"AUC2008192231552","51269"
"MEU5902928665192","12602"
"FAM0755559371018","30827"
"YWE9183412636744","9536"
"AUC5011607724508","17114"
"VID8719883588773","45391"
"BEL4251682240840","45582"
"VEN4894223165143","45582"
"INS3700732973494","5914"
"VEN3666471013139","41813"
"HOM5905475650581","12602"
"AUC9318859667307","28434"
"VID8720287067979","41961"
"MLMBOSTONBLGR","12602"
"FDI1690219718117","48303"
"KEE1686994712948","40959"
"PEG5902326347805","23763"
"ATY1698287075274","23104"
"FDI1688539344922","3466"
"TMI2008174733661","17114"
"ZJC7053726631723","39142"
"VEN3666471003772","12602"
"AUC7047920045363","39142"
"OVO3291197824563","32161"
"AUC4217227042515","28513"
"HUR7628923282292","18298"
"OVI3663095112064","45582"
"KEX6738903151430","5662"
"AUC1695662899514","46512"
"VBE7434407901081","14101"
"VID5700508417229","41813"
"MEU5452004041575","12602"
"AUC9397415814072","17114"
"AUC7002204733459","14680"
"FDI1698427274758","11221"
"AUC1694601619845","5662"
"OVO8095656100046","41813"
"MEN3327480064665","12602"
"MIC5903614155775","50384"
"HAO6717510999307","5662"
"AUC1695709369729","33972"
"EST1696438800816","14101"
"ZER2007807477422","41813"
"ITO9054090359075","6893"
"ATY1687923591986","23104"
"DIO7388290038860","41813"
"AUC2008478934788","11221"
"DAV1699595909248","12602"
"VGE7421772473473","9175"
"ZJC7029240499897","41813"
"DEL4250809380094","32309"
"VIN7691284009136","14680"
"AUC1693195291803","5662"
"CIK9193097623670","41813"
"CUQ1696294435231","4505"
"DRF1696372305969","41813"
"ATY1689094120103","23104"
"DRF7678954550068","35448"
"LAM3664031018716","10283"
"BET9472646603326","45933"
"AUC3701521814516","12602"
"AUC2008434577417","17114"
"AUC1692521777915","16966"
"GOT2008158477314","41813"
"HUR2007841866060","17114"
"VGE1695144980105","35448"
"BEL1697286662515","12602"
"AUC4542313947000","28513"
"LEQ3514230029368","41813"
"AUC8324250149541","28513"
"MEN3327480032657","45582"
"DRF1696365998305","14101"
"VID0705989572608","32161"
"DRF7750956944714","3466"
"AUC3130653924549","17114"
"ATY1696119393661","23104"
"BAI1697748214501","45582"
"TOU1697354629930","17114"
"HIL2008150713014","11221"
"KEE1687192868142","4505"
"AUC4269513838364","32161"
"EST1697302876126","14680"
"AUC0783296614624","29854"
"VID5454956374633","32161"
"ZJC1686620861179","2100"
"AUC0724316165313","41813"
"AUC5292190106876","28513"
"ATY1694120671995","40959"
"MIC5903614498490","32108"
"YOS7697288766129","42927"
"HAO6746079756434","31351"
"AUC5408692716868","32161"
"DIO1693829353423","35448"
"AUC9362673897822","41813"
"VGE1696194013988","41813"
"EJL1695234126436","18298"
"VGE9588117184338","17114"
"ZJC2007838591579","11221"
"ATY1686725186364","14101"
"ATY1698782900296","23104"
"INS3663556445403","5914"
"CIK9780532135388","45933"
"MAC3302537350113","45582"
"OVO8118750759887","41813"
"AUC6473936635969","17114"
"VGE7674238321775","18298"
"ITO9054090392621","46512"
"OVO6257136848097","20098"
"ATY7667104535246","23104"
"ZER7807124236901","30775"
"ATY1694127809440","14680"
"AUC9037082187665","17114"
"AUC3021881763751","14680"
"LAM3664031019102","30775"
"ATY1689093296040","23104"
"AUC2008448053990","17114"
"WOV9054090343463","33972"
"WOV1686307369887","9536"
"AUC3115620615903","41813"
"HAO6780956909674","5662"
"AUC2007964458456","41813"
"YOS0888530280969","46512"
"FDI1698309779749","30775"
"AUC1696679708725","8150"
"INS2008208949785","46512"
"AUC0732775252437","45933"
"NON1686565730535","23842"
"AUC3760162091472","12602"
"DUO1698085185306","30775"
"AUC3701613712522","45582"
"YWE1687765081042","46512"
"DRF1696365821271","14101"
"VGE1698395758548","30775"
"AUC9056571475533","28513"
"LAM1698593058841","11221"
"HAO6768588256861","29854"
"AUC1695663070148","34620"
