cluster_id,label,max_values,total_len,top_words
13,CANAPE - SOFA - DIVAN,1497,1497,canapé | cm | places | lit | convertible
79,CANAPE - SOFA - DIVAN,1087,1087,canapé | angle | convertible | places | tissu
92,CANAPE - SOFA - DIVAN,569,569,canapé | convertible | express | cm | matelas
174,CANAPE - SOFA - DIVAN,342,342,canapé | places | relax | cuir | gris
194,ENSEMBLE CANAPES,156,157,places | canapé | cm | ensemble | cuir
208,CANAPE - SOFA - DIVAN,10,10,canapé | club | places | marron | cuir
242,CLIC-CLAC - BANQUETTE CLIC-CLAC,359,361,cm | canapé | clic | clac | lit
8508,CANAPE - SOFA - DIVAN,439,439,canapé | places | velours | angle | convertible
342,CANAPE - SOFA - DIVAN,749,749,méridienne | cm | pieds | velours | kg
914,MERIDIENNE,117,117,banquette | cm | velours | rangement | pieds
3692,BANQUETTE,118,119,canapé | coussins | housse | confort | noelia
4861,CANAPE - SOFA - DIVAN,4,4,bz | cm | banquette | matelas | tissu
5439,BZ - BANQUETTE BZ,45,45,canapé | places | velours | chesterfield | cm
11104,CANAPE - SOFA - DIVAN,6,6,rotin | canapé | coussins | très | grâce
12366,CANAPE - SOFA - DIVAN,6,6,lit | canapé | pendant | espace | offrant
21257,MERIDIENNE,6,6,cm | poids | kg | net | pieds
22905,CANAPE - SOFA - DIVAN,4,4,cm | 220 | convertible | dimensions | 15
33517,CANAPE - SOFA - DIVAN,4,4,canapé | forme | confort | angle | moderne
36301,CANAPE - SOFA - DIVAN,4,4,ranna | confort | canapé | design | cuir
51152,CANAPE - SOFA - DIVAN,4,4,convertible | style | coffre | angle | places
